Ref,Val,Package,PosX,PosY,Rot,Side
"C18","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",158.400000,-69.250000,270.000000,bottom
"C19","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.650000,-65.250000,180.000000,bottom
"C20","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",164.400000,-69.250000,270.000000,bottom
"C21","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",185.500000,-48.250000,180.000000,bottom
"C22","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",152.350000,-63.550000,-0.000000,bottom
"C23","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",185.750000,-37.250000,-0.000000,bottom
"D1","RED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",175.070000,-19.842500,90.000000,bottom
"D2","GRN","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",176.120000,-19.840000,90.000000,bottom
"D3","BLU","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",175.560000,-18.150000,180.000000,bottom
"F1","1A Hold","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",174.300000,-40.100000,90.000000,bottom
"J4","SWD_CONNECTOR","PinHeader_2x05_P1.00mm_Vertical_SMD",185.300000,-56.170000,0.000000,bottom
"P1","USB_C_CONNECTOR","USB_C_Receptacle_HRO_TYPE-C-31-M-12",186.250000,-30.110000,270.000000,bottom
"R1","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",183.080000,-67.730000,0.000000,bottom
"R2","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",141.500000,-72.750000,180.000000,bottom
"R3","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",141.750000,-87.750000,180.000000,bottom
"R4","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",136.500000,-85.000000,-0.000000,bottom
"R5","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",149.250000,-80.250000,180.000000,bottom
"R6","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",186.000000,-77.670000,180.000000,bottom
"R7","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",166.725000,-79.750000,180.000000,bottom
"R8","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",134.500000,-63.500000,90.000000,bottom
"R9","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",140.700000,-63.200000,90.000000,bottom
"R10","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",171.650000,-60.750000,180.000000,bottom
"R11","27","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",178.000000,-32.200000,180.000000,bottom
"R12","27","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",178.000000,-33.800000,180.000000,bottom
"R13","4.7k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",171.650000,-58.750000,180.000000,bottom
"R14","300","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",174.020000,-19.860000,90.000000,bottom
"R15","4.7k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",171.650000,-59.750000,180.000000,bottom
"R16","200","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",177.180000,-19.860000,90.000000,bottom
"R17","200","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",175.560000,-17.080000,180.000000,bottom
"R18","56k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",179.000000,-31.000000,180.000000,bottom
"R19","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",139.650000,-63.200000,270.000000,bottom
"SW7","SW_SPST","SW_SPST_PTS810",135.500000,-59.000000,90.000000,bottom
"SW9","SW_SPST","SW_SPST_PTS810",139.500000,-59.000000,270.000000,bottom
"U1","RP2040","RP2040-QFN-56",163.500000,-62.000000,270.000000,bottom
"U3","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",146.350000,-61.550000,0.000000,bottom
